gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
895002058	17a729a0-7ed1-11df-8c4a-0800200c9a66	SANT:SANT-Algae:26963-A	Plantae	Chlorophyta	Ulvophyceae	Bryopsidales	Caulerpaceae	Caulerpa	Caulerpa cylindracea	cylindracea	VARIETY	Caulerpa racemosa var. cylindracea (Sonder) Verlaque, Huisman & Boudouresque, 2003	Caulerpa racemosa var. cylindracea (Sonder) Verlaque, Huisman & Boudoure		ES	Ceuta: Playa de Benzú, 35º54’ 57.97’’ N, 5º 22’ 23.51’’ W	Ce	PRESENT		def87a70-0837-11d9-acb2-b8a03c50a862									2010-09-29	29	9	2010	2643128	2643131	PRESERVED_SPECIMEN	SANT	SANT-Algae	26963				CC_BY_NC_4_0		M. Zanolla			2024-01-24T16:17:57.507Z		COLLECTION_MATCH_NONE
895001996	17a729a0-7ed1-11df-8c4a-0800200c9a66	SANT:SANT-Algae:26962-A	Plantae	Chlorophyta	Ulvophyceae	Bryopsidales	Caulerpaceae	Caulerpa	Caulerpa cylindracea	cylindracea	VARIETY	Caulerpa racemosa var. cylindracea (Sonder) Verlaque, Huisman & Boudouresque, 2003	Caulerpa racemosa var. cylindracea (Sonder) Verlaque, Huisman & Boudoure		ES	Ceuta: Playa de Benzú, 35º54’ 57.97’’ N, 5º 22’ 23.51’’ W	Ce	PRESENT		def87a70-0837-11d9-acb2-b8a03c50a862									2010-09-29	29	9	2010	2643128	2643131	PRESERVED_SPECIMEN	SANT	SANT-Algae	26962				CC_BY_NC_4_0		M. Zanolla			2024-01-24T16:17:57.223Z		COLLECTION_MATCH_NONE
464540349	fea77396-7b26-44cb-8580-aefadc8db276	http://coldb.mnhn.fr/catalognumber/mnhn/pc/pc0499939	Plantae	Chlorophyta	Ulvophyceae	Bryopsidales	Caulerpaceae	Caulerpa	Caulerpa cylindracea		SPECIES	Caulerpa cylindracea Sonder, 1845	Caulerpa cylindracea Sond.	Sond.				PRESENT		2cd829bb-b713-433d-99cf-64bef11e5b3e													2643131	2643131	PRESERVED_SPECIMEN	MNHN	PC	PC0499939				CC_BY_4_0					2024-02-14T14:38:58.986Z	StillImage	
464490689	fea77396-7b26-44cb-8580-aefadc8db276	http://coldb.mnhn.fr/catalognumber/mnhn/pc/pc0499941	Plantae	Chlorophyta	Ulvophyceae	Bryopsidales	Caulerpaceae	Caulerpa	Caulerpa cylindracea		SPECIES	Caulerpa cylindracea Sonder, 1845	Caulerpa cylindracea Sond.	Sond.				PRESENT		2cd829bb-b713-433d-99cf-64bef11e5b3e													2643131	2643131	PRESERVED_SPECIMEN	MNHN	PC	PC0499941				CC_BY_4_0					2024-02-14T14:38:58.792Z	StillImage	
464462937	fea77396-7b26-44cb-8580-aefadc8db276	http://coldb.mnhn.fr/catalognumber/mnhn/pc/pc0499940	Plantae	Chlorophyta	Ulvophyceae	Bryopsidales	Caulerpaceae	Caulerpa	Caulerpa cylindracea		SPECIES	Caulerpa cylindracea Sonder, 1845	Caulerpa cylindracea Sond.	Sond.				PRESENT		2cd829bb-b713-433d-99cf-64bef11e5b3e													2643131	2643131	PRESERVED_SPECIMEN	MNHN	PC	PC0499940				CC_BY_4_0					2024-02-14T14:38:59.089Z	StillImage	
4520726974	cafff6a5-1fa4-4a90-a2b3-f3db78b93d02	tepapa:collection/object/1879391	Plantae	Chlorophyta	Ulvophyceae	Bryopsidales	Caulerpaceae	Caulerpa	Caulerpa cylindracea		SPECIES	Caulerpa cylindracea Sonder, 1845	Caulerpa cylindracea Sond.	Sond.	NZ	Marine aquarium trade  on imported livestock		PRESENT		afae4f45-b85e-4a0e-9d93-f30f044e8140									2017-07-07	7	7	2017	2643131	2643131	PRESERVED_SPECIMEN	NMNZ	WELT	A034222	A25	Kirill Woodhouse		CC_BY_4_0	Museum of New Zealand Te Papa Tongarewa	Kirill Woodhouse			2024-02-19T20:49:37.449Z		
4512214304	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/188160923	Plantae	Chlorophyta	Ulvophyceae	Bryopsidales	Caulerpaceae	Caulerpa	Caulerpa cylindracea		SPECIES	Caulerpa cylindracea Sonder, 1845	Caulerpa cylindracea		AU		South Australia	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-35.148554	138.466174	53.0						2023-10-19T14:46	19	10	2023	2643131	2643131	HUMAN_OBSERVATION	iNaturalist	Observations	188160923		Matt Tank	2023-11-04T15:26:19	CC_BY_NC_4_0	Matt Tank	Matt Tank			2024-02-16T18:57:29.213Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4512188335	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/7672495	Plantae	Chlorophyta	Ulvophyceae	Bryopsidales	Caulerpaceae	Caulerpa	Caulerpa cylindracea		SPECIES	Caulerpa cylindracea Sonder, 1845	Caulerpa cylindracea		IT		Sicily	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	37.581045	12.80714	713.0						2017-08-08T10:05	8	8	2017	2643131	2643131	HUMAN_OBSERVATION	iNaturalist	Observations	7672495		pierrenoel	2018-10-14T16:55:56	CC_BY_NC_4_0	Luca Fornasari	Luca Fornasari			2024-02-16T18:32:50.307Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4508000490	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/195253411	Plantae	Chlorophyta	Ulvophyceae	Bryopsidales	Caulerpaceae	Caulerpa	Caulerpa cylindracea		SPECIES	Caulerpa cylindracea Sonder, 1845	Caulerpa cylindracea		ES		Islas Canarias	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	28.043505	-16.533163	80.0						2023-12-29T19:53Z	29	12	2023	2643131	2643131	HUMAN_OBSERVATION	iNaturalist	Observations	195253411		Dennis Rabeling	2023-12-30T18:48:08	CC_BY_4_0	Ben Jobson	Ben Jobson			2024-02-16T19:25:13.144Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4507969756	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/195361789	Plantae	Chlorophyta	Ulvophyceae	Bryopsidales	Caulerpaceae	Caulerpa	Caulerpa cylindracea		SPECIES	Caulerpa cylindracea Sonder, 1845	Caulerpa cylindracea		ES		Islas Canarias	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	28.044475	-16.533076	20.0						2023-12-29T20:09Z	29	12	2023	2643131	2643131	HUMAN_OBSERVATION	iNaturalist	Observations	195361789		Amanhuy Duque y Andrea Castro	2023-12-31T12:30:46	CC_BY_NC_4_0	Amanhuy Duque y Andrea Castro	Amanhuy Duque y Andrea Castro			2024-02-16T18:59:26.629Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
