id	modified	language	datasetID	datasetName	dynamicProperties	eventID	parentEventID	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	fieldNumber	eventRemarks	locationID	waterBody	country	stateProvince	county	locality	minimumElevationInMeters	maximumElevationInMeters	verbatimDepth	minimumDepthInMeters	maximumDepthInMeters	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	footprintWKT	footprintSRS	georeferenceRemarks
RCMed-survey-1	2021-03-17 13:34:06	en	IMIS:dasid:6454	Reef Check Med - key Mediterranean marine species 2001-2020		RCMed-survey-1		RCMed U-CEM protocol				2006-04-22				2006	4	22												3	35	40.56976	14.33953	EPSG:4326	200.0		EPSG:4326	
RCMed-survey-2	2021-03-17 13:34:06	en	IMIS:dasid:6454	Reef Check Med - key Mediterranean marine species 2001-2020		RCMed-survey-2		RCMed U-CEM protocol				2006-04-23				2006	4	23												3	28	40.5746	14.34605	EPSG:4326	200.0		EPSG:4326	
RCMed-survey-3	2021-03-17 13:34:06	en	IMIS:dasid:6454	Reef Check Med - key Mediterranean marine species 2001-2020		RCMed-survey-3		RCMed U-CEM protocol				2006-04-23				2006	4	23												3	30	40.56955	14.32545	EPSG:4326	200.0		EPSG:4326	
RCMed-survey-4	2021-03-17 13:34:06	en	IMIS:dasid:6454	Reef Check Med - key Mediterranean marine species 2001-2020		RCMed-survey-4		RCMed U-CEM protocol				2006-04-24				2006	4	24												3	30	40.56976	14.33953	EPSG:4326	200.0		EPSG:4326	
RCMed-survey-5	2021-03-17 13:34:06	en	IMIS:dasid:6454	Reef Check Med - key Mediterranean marine species 2001-2020		RCMed-survey-5		RCMed U-CEM protocol				2006-04-24				2006	4	24												3	20	40.58828	14.37273	EPSG:4326	200.0		EPSG:4326	
RCMed-survey-6	2021-03-17 13:34:06	en	IMIS:dasid:6454	Reef Check Med - key Mediterranean marine species 2001-2020		RCMed-survey-6		RCMed U-CEM protocol				2006-04-25				2006	4	25												5	30	40.56955	14.32545	EPSG:4326	200.0		EPSG:4326	
RCMed-survey-7	2021-03-17 13:34:06	en	IMIS:dasid:6454	Reef Check Med - key Mediterranean marine species 2001-2020		RCMed-survey-7		RCMed U-CEM protocol				2006-05-28				2006	5	28												5	13	39.85916	18.39559	EPSG:4326	200.0		EPSG:4326	
RCMed-survey-8	2021-03-17 13:34:06	en	IMIS:dasid:6454	Reef Check Med - key Mediterranean marine species 2001-2020		RCMed-survey-8		RCMed U-CEM protocol				2006-04-27				2006	4	27												3	26	38.18675	15.56813	EPSG:4326	200.0		EPSG:4326	
RCMed-survey-9	2021-03-17 13:34:06	en	IMIS:dasid:6454	Reef Check Med - key Mediterranean marine species 2001-2020		RCMed-survey-9		RCMed U-CEM protocol				2006-04-27				2006	4	27												5	22	38.25618	15.7131	EPSG:4326	200.0		EPSG:4326	
RCMed-survey-10	2021-03-17 13:34:06	en	IMIS:dasid:6454	Reef Check Med - key Mediterranean marine species 2001-2020		RCMed-survey-10		RCMed U-CEM protocol				2006-05-28				2006	5	28												11	15	44.30905	9.1786	EPSG:4326	200.0		EPSG:4326	
RCMed-survey-11	2021-03-17 13:34:06	en	IMIS:dasid:6454	Reef Check Med - key Mediterranean marine species 2001-2020		RCMed-survey-11		RCMed U-CEM protocol				2006-11-06				2006	11	6												20	25	44.02573	8.22962	EPSG:4326	200.0		EPSG:4326	
RCMed-survey-12	2021-03-17 13:34:06	en	IMIS:dasid:6454	Reef Check Med - key Mediterranean marine species 2001-2020		RCMed-survey-12		RCMed U-CEM protocol				2006-11-06				2006	11	6												7	24	44.1335	9.636	EPSG:4326	200.0		EPSG:4326	
RCMed-survey-13	2021-03-17 13:34:06	en	IMIS:dasid:6454	Reef Check Med - key Mediterranean marine species 2001-2020		RCMed-survey-13		RCMed U-CEM protocol				2006-11-06				2006	11	6												13	24	44.18116	9.5705	EPSG:4326	200.0		EPSG:4326	
RCMed-survey-14	2021-03-17 13:34:06	en	IMIS:dasid:6454	Reef Check Med - key Mediterranean marine species 2001-2020		RCMed-survey-14		RCMed U-CEM protocol				2006-11-06				2006	11	6												5	23	44.13333	9.63333	EPSG:4326	200.0		EPSG:4326	
RCMed-survey-15	2021-03-17 13:34:06	en	IMIS:dasid:6454	Reef Check Med - key Mediterranean marine species 2001-2020		RCMed-survey-15		RCMed U-CEM protocol				2006-07-06				2006	7	6												5	30	39.99484	15.42527	EPSG:4326	200.0		EPSG:4326	
